Sentence #,Word,POS,Tag
Sentence: 24,Officials,NNS,O
,will,MD,O
,not,RB,O
,say,VB,O
,how,WRB,O
,many,JJ,O
,troops,NNS,O
,have,VBP,O
,arrived,VBN,O
,in,IN,O
,the,DT,O
,Sunni,NNP,B-geo
,Arab,NNP,I-geo
,and,CC,O
,Kurdish,NNP,B-geo
,city,NN,O
,",",",",O
,where,WRB,O
,bombings,NNS,O
,last,JJ,O
,week,NN,O
,killed,VBD,O
,at,IN,O
,least,JJS,O
,34,CD,B-ndeath
,people,NNS,O
,and,CC,O
,wounded,VBD,O
,more,JJR,O
,than,IN,O
,200,CD,B-ninjured
,.,.,O
Sentence: 46,Pakistani,JJ,B-gpe
,officials,NNS,O
,say,VBP,O
,unidentified,JJ,O
,gunmen,NNS,O
,have,VBP,O
,killed,VBN,O
,three,CD,B-ndeath
,people,NNS,O
,",",",",O
,including,VBG,O
,a,DT,O
,former,JJ,O
,government,NN,O
,minister,NN,O
,",",",",O
,in,IN,O
,a,DT,O
,semi-autonomous,JJ,O
,tribal,JJ,O
,region,NN,O
,bordering,VBG,O
,Afghanistan,NNP,B-geo
,.,.,O
Sentence: 87,Indonesian,JJ,B-gpe
,police,NNS,O
,have,VBP,O
,arrested,VBN,O
,three,CD,O
,men,NNS,O
,in,IN,O
,connection,NN,O
,with,IN,O
,the,DT,O
,October,NNP,B-tim
,1,CD,I-tim
,Bali,NNP,B-geo
,bombings,NNS,O
,that,WDT,O
,left,VBD,O
,23,CD,B-ndeath
,people,nns,O
,dead,JJ,O
,.,.,O
Sentence: 91,Indonesian,JJ,B-gpe
,authorities,NNS,O
,blame,VBP,O
,Azahari,NNP,B-per
,bin,NNP,I-per
,Husin,NNP,I-per
,for,IN,O
,orchestrating,VBG,O
,last,JJ,O
,month,NN,O
,'s,POS,O
,attacks,NNS,O
,in,IN,O
,Bali,NNP,B-geo
,as,RB,O
,well,RB,O
,as,IN,O
,the,DT,O
,2002,CD,B-tim
,Bali,NNP,B-geo
,bombings,NNS,O
,that,WDT,O
,killed,VBD,O
,more,JJR,O
,than,IN,O
,200,CD,B-ndeath
,people,NNS,O
,.,.,O
Sentence: 99,Pakistani,JJ,B-gpe
,forces,NNS,O
,have,VBP,O
,targeted,VBN,O
,militants,NNS,O
,in,IN,O
,the,DT,O
,northwest,NN,O
,for,IN,O
,a,DT,O
,third,JJ,O
,day,NN,O
,",",",",O
,launching,VBG,O
,airstrikes,NNS,O
,that,IN,O
,they,PRP,O
,say,VBP,O
,killed,VBN,O
,at,IN,O
,least,JJS,O
,nine,CD,B-ndeath
,suspected,JJ,O
,insurgents,NNS,O
,.,.,O
Sentence: 107,The,DT,O
,U.S.,NNP,B-org
,military,NN,O
,in,IN,O
,Afghanistan,NNP,B-geo
,says,VBZ,O
,coalition,NN,O
,forces,NNS,O
,killed,VBD,O
,14,CD,B-ndeath
,Taleban,NNP,B-org
,militants,NNS,O
,in,IN,O
,separate,JJ,O
,clashes,NNS,O
,this,DT,O
,week,NN,O
,.,.,O
Sentence: 126,Witnesses,NNS,O
,in,IN,O
,Somalia,NNP,B-geo
,say,VBP,O
,insurgents,NNS,O
,have,VBP,O
,burned,VBN,O
,and,CC,O
,dragged,VBN,O
,the,DT,O
,bodies,NNS,O
,of,IN,O
,at,IN,O
,least,JJS,O
,two,CD,O
,soldiers,NNS,O
,through,IN,O
,the,DT,O
,streets,NNS,O
,of,IN,O
,Mogadishu,NNP,B-geo
,",",",",O
,after,IN,O
,a,DT,O
,clash,NN,O
,between,IN,O
,militants,NNS,O
,and,CC,O
,Ethiopian,JJ,B-gpe
,forces,NNS,O
,killed,VBD,O
,seven,CD,B-ndeath
,people,NNS,O
,.,.,O
Sentence: 160,The,DT,O
,Israeli,JJ,B-gpe
,army,NN,O
,has,VBZ,O
,killed,VBN,O
,a,DT,O
,Palestinian,JJ,B-gpe
,youth,NN,O
,in,IN,O
,the,DT,O
,northern,JJ,O
,Gaza,NNP,B-geo
,Strip,NNP,I-geo
,and,CC,O
,wounded,VBN,O
,at,IN,O
,least,JJS,O
,three,CD,B-ninjured
,other,JJ,O
,people,NNS,O
,.,.,O
Sentence: 213,More,JJR,O
,than,IN,O
,500,CD,B-ndeath
,people,NNS,O
,have,VBP,O
,been,VBN,O
,killed,VBN,O
,this,DT,O
,year,NN,O
,in,IN,O
,an,DT,O
,insurgency,NN,O
,that,IN,O
,some,DT,O
,say,VBP,O
,is,VBZ,O
,supported,VBN,O
,by,IN,O
,extremist,NN,O
,Muslims,NNS,B-org
,in,IN,O
,Indonesia,NNP,B-geo
,and,CC,O
,Malaysia,NNP,B-geo
,.,.,O
Sentence: 361,In,IN,O
,Monday,NNP,B-tim
,'s,POS,O
,trial,NN,O
,",",",",O
,Ramda,NNP,B-per
,is,VBZ,O
,facing,VBG,O
,charges,NNS,O
,of,IN,O
,being,VBG,O
,an,DT,O
,accomplice,NN,O
,to,TO,O
,at,IN,O
,least,JJS,O
,three,CD,O
,bombings,NNS,O
,on,IN,O
,the,DT,O
,Paris,NNP,B-geo
,subway,NN,O
,",",",",O
,including,VBG,O
,the,DT,O
,July,NNP,B-tim
,25,CD,I-tim
,",",",",I-tim
,1995,CD,I-tim
,attack,NN,O
,that,WDT,O
,killed,VBD,O
,eight,CD,B-ndeath
,people,NNS,O
,and,CC,O
,injured,VBD,O
,more,JJR,O
,than,IN,O
,150,CD,B-ninjured
,.,.,O
Sentence: 425,Iraqi,JJ,B-gpe
,officials,NNS,O
,say,VBP,O
,at,IN,O
,least,JJS,O
,two,CD,B-ndeath
,people,NNS,O
,were,VBD,O
,killed,VBN,O
,and,CC,O
,several,JJ,O
,others,NNS,O
,wounded,VBD,O
,in,IN,O
,a,DT,O
,car,NN,O
,bomb,NN,O
,blast,NN,O
,in,IN,O
,central,JJ,O
,Baghdad,NNP,B-geo
,Tuesday,NNP,B-tim
,.,.,O
Sentence: 472,Israeli,JJ,B-gpe
,soldiers,NNS,O
,have,VBP,O
,killed,VBN,O
,two,CD,B-ndeath
,Palestinians,NNS,B-gpe
,in,IN,O
,the,DT,O
,southern,JJ,O
,Gaza,NNP,B-geo
,Strip,NNP,I-geo
,.,.,O
Sentence: 476,Israeli,JJ,B-gpe
,soldiers,NNS,O
,killed,VBD,O
,five,CD,B-ndeath
,Palestinians,NNS,B-gpe
,Thursday,NNP,B-tim
,during,IN,O
,an,DT,O
,army,NN,O
,operation,NN,O
,in,IN,O
,the,DT,O
,West,NNP,B-geo
,Bank,NNP,I-geo
,city,NN,O
,of,IN,O
,Nablus,NNP,B-geo
,.,.,O
Sentence: 504,A,DT,O
,landmine,NN,O
,blast,NN,O
,in,IN,O
,southern,JJ,O
,Afghanistan,NNP,B-geo
,has,VBZ,O
,killed,VBN,O
,nine,CD,B-ndeath
,Afghan,JJ,B-gpe
,soldiers,NNS,O
,.,.,O
